heating_type,building_type,area,income,climate_zone,vintage,insulation_level,count,bldg_ids,zip_codes,elec_weights,gas_weights
Natural Gas,Large MF,0-1499,Low Income,Cold,<1960,Poor Insulation,12,4736|16536|16818|99165|106419|110376|168377|190524|300244|327279|495938|505445,02746|02746|02746|02746|02746|02746|02746|02746|02746|02746|02746|02746,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225
Natural Gas,Large MF,0-1499,Low Income,Cold,>2000,Poor Insulation,3,169924|365492|448463,02746|02360|02360,252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|126.15081936512613|126.15081936512613
Natural Gas,Large MF,0-1499,Moderate Income,Cold,1960-2000,Average Insulation,4,87230|95934|105852|221821,02746|02746|02746|02746,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225
Natural Gas,Large MF,0-1499,Moderate Income,Cold,1960-2000,Poor Insulation,10,97425|123110|190752|266254|294341|309192|387260|415414|455604|499959,02746|02360|02746|02746|02360|02746|02746|02360|02360|02360,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|126.15081936512613|252.30163873025225|252.30163873025225|126.15081936512613|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613|126.15081936512613
Natural Gas,Large MF,0-1499,Moderate Income,Cold,<1960,Poor Insulation,3,147283|467132|510549,02746|02746|02746,252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225|252.30163873025225
Natural Gas,Large MF,0-1499,Moderate Income,Cold,>2000,Average Insulation,6,56648|94508|191156|268845|413717|534528,02360|02360|02360|02746|02746|02360,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|126.15081936512613|126.15081936512613|252.30163873025225|252.30163873025225|126.15081936512613
Natural Gas,Large MF,0-1499,Moderate Income,Cold,>2000,Poor Insulation,3,445257|475089|514473,02360|02360|02360,252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|126.15081936512613|126.15081936512613
Natural Gas,Large MF,1500-2499,High Income,Cold,>2000,Poor Insulation,1,75221,02746,252.30163873025225,252.30163873025225
Natural Gas,Large MF,1500-2499,Moderate Income,Cold,1960-2000,Average Insulation,1,256342,02746,252.30163873025225,252.30163873025225
Natural Gas,Large MF,4000+,Moderate Income,Cold,<1960,Average Insulation,1,140077,02746,252.30163873025225,252.30163873025225
