bldg_id,in.city,in.county_name,area,building_type,in.heating_setpoint,in.hvac_cooling_efficiency,cooling_type,heating_efficiency,heating_type,income,insulation_level,in.vintage,vintage,climate_zone,has_solar,in.weather_file_latitude,in.weather_file_longitude,out.bills.all_fuels.usd,out.bills.electricity.usd,out.bills.natural_gas.usd,out.electricity.cooling.energy_consumption.kwh,out.electricity.heating.energy_consumption.kwh,out.electricity.summer.peak.kw,out.electricity.total.energy_consumption.kwh,out.electricity.winter.peak.kw,out.energy_burden.percentage,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,weight,in.state,in.zip_code,in.utility_name,in.gas_utility_name,elec_weight,gas_weight
175078,"MN, Minnetonka",Hennepin,1500-2499,SF,70F,"AC, SEER 13",High Eff AC,Medium Htg Eff,Natural Gas,High Income,Poor Insulation,1970s,1960-2000,Cold,No,44.9352195,-93.46382747760623,3471.2640912172,2099.7040912172,1371.56,1950.681043066311,0.0,13.7601,15603.103775969112,13.4308,1.29,36097.27064204244,48488.02241785383,252.30163873025225,MN,55345,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy,252.30163873025225,126.15081936512613
175174,"MN, St Louis Park",Hennepin,0-1499,SF,68F,"AC, SEER 13",High Eff AC,Medium Htg Eff,Natural Gas,Low Income,Poor Insulation,1980s,1960-2000,Cold,No,45.07,-93.35,1547.238137743188,738.688137743188,808.55,1002.5961310591722,0.0,7.266,5440.864417747306,7.1551,5.6,23288.599520165466,26410.97870178032,252.30163873025225,MN,55429,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
175293,"MN, Woodbury",Washington,1500-2499,SF,76F,"AC, SEER 13",High Eff AC,Medium Htg Eff,Natural Gas,High Income,Average Insulation,2010s,>2000,Cold,No,44.905228,-92.92340786091235,1827.2196285065888,1151.8796285065887,675.34,1210.3835198112777,0.0,6.1948,8526.023573450288,6.3214,1.67,15766.637433125212,21187.86608917098,252.30163873025225,MN,55125,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy,252.30163873025225,126.15081936512613
175398,In another census Place,Anoka,0-1499,SF,72F,"AC, SEER 13",High Eff AC,Medium Htg Eff,Natural Gas,Moderate Income,Average Insulation,1990s,1960-2000,Cold,No,45.07,-93.35,2777.9381041740144,1150.3881041740144,1627.55,2269.5423674136887,0.0,4.3713,8514.886872783743,2.9789,3.71,54221.07869256283,58525.706571252435,252.30163873025225,MN,55429,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy,252.30163873025225,126.15081936512613
175427,"MN, St Louis Park",Hennepin,0-1499,SF,65F,"AC, SEER 13",High Eff AC,High Htg Eff,Natural Gas,High Income,Poor Insulation,1940s,<1960,Cold,No,45.07,-93.35,2651.3452260337544,1219.1552260337542,1432.19,1083.7768174968778,0.0,11.7375,9028.347387725478,10.7618,1.77,42927.29193240607,50865.414939090886,252.30163873025225,MN,55429,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
175476,In another census Place,Washington,2500-3999,SF,62F,"Room AC, EER 12.0",Room AC,High Htg Eff,Electric Resistance,High Income,Good Insulation,1990s,1960-2000,Cold,No,44.93,-93.05,3698.5004238158144,3698.5004238158144,0.0,396.8182290131889,13629.563189429367,9.8567,27540.76767729424,19.829900000000002,2.19,0.0,0.0,252.30163873025225,MN,55107,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co|Mn Energy Res Corp,252.30163873025225,84.10054624341741
176402,"MN, Eden Prairie",Hennepin,2500-3999,SF,67F,"AC, SEER 13",High Eff AC,Medium Htg Eff,Natural Gas,High Income,Average Insulation,1990s,1960-2000,Cold,No,44.845391500000005,-93.45981585174584,2498.735658454999,908.525658454999,1590.21,982.3742272172889,0.0,4.9937,6708.982938382511,3.3007,0.89,53287.06119192396,57061.81657574218,252.30163873025225,MN,55347,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
176476,"MN, St Paul",Ramsey,1500-2499,SF,70F,"AC, SEER 15",High Eff AC,Medium Htg Eff,Natural Gas,High Income,Poor Insulation,1950s,<1960,Cold,No,44.93,-93.05,2359.422524994205,1314.1025249942052,1045.32,1230.605423653161,0.0,7.1802,9737.286306472084,8.6855,1.58,35695.470204836325,35695.470204836325,252.30163873025225,MN,55107,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co|Mn Energy Res Corp,252.30163873025225,84.10054624341741
176560,"MN, Minneapolis",Hennepin,1500-2499,SF,68F,"AC, SEER 10",Low Eff AC,Medium Htg Eff,Natural Gas,High Income,Poor Insulation,<1940,<1960,Cold,No,44.9707515,-93.26819344292213,4216.81884707963,1732.2788470796304,2484.54,2540.6331073229944,0.0,8.318200000000001,12859.665488086937,8.0211,1.54,82492.47254779642,92130.11469040994,252.30163873025225,MN,55404,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
176693,"MN, Maple Grove",Hennepin,1500-2499,SF,70F,"AC, SEER 10",Low Eff AC,Medium Htg Eff,Natural Gas,High Income,Average Insulation,2000s,>2000,Cold,No,45.108813,-93.46237210754585,1208.0415266462855,532.6615266462856,675.38,1299.184054073461,0.0,2.5397,3902.5343704133115,1.9809,1.13,17373.546110879506,21189.33144452184,252.30163873025225,MN,55369,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
176828,In another census Place,Hennepin,1500-2499,SF,70F,"Room AC, EER 9.8",Room AC,Medium Htg Eff,Natural Gas,High Income,Poor Insulation,1950s,<1960,Cold,No,45.07,-93.35,2829.86081109933,1193.72081109933,1636.14,494.7039664507111,0.0,2.4362,8838.437334253878,3.0757,2.56,43529.846052680165,58862.73830195049,252.30163873025225,MN,55429,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy,252.30163873025225,126.15081936512613
177058,"MN, Minneapolis",Hennepin,1500-2499,SF,70F,"AC, SEER 13",High Eff AC,Medium Htg Eff,Natural Gas,Moderate Income,Average Insulation,1970s,1960-2000,Cold,No,44.9707515,-93.26819344292213,2482.480116659958,1350.3701166599583,1132.11,1632.405860859278,0.0,3.3383000000000003,10008.083975311218,2.8538,2.69,26173.591134940823,39098.611471676166,252.30163873025225,MN,55404,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy,252.30163873025225,126.15081936512613
177338,"MN, Eden Prairie",Hennepin,0-1499,SF,70F,"AC, SEER 13",High Eff AC,High Htg Eff,Natural Gas,High Income,Average Insulation,2000s,>2000,Cold,No,44.845391500000005,-93.45981585174584,1211.7681384332448,554.8381384332448,656.93,749.0896553602,0.0,1.9298,4068.1195250606165,1.5546,0.44,12507.980203880274,20466.032043336792,252.30163873025225,MN,55347,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy,252.30163873025225,126.15081936512613
177399,"MN, Bloomington",Hennepin,1500-2499,SF,67F,"AC, SEER 13",High Eff AC,High Htg Eff,Natural Gas,Moderate Income,Poor Insulation,1950s,<1960,Cold,No,44.8239025,-93.31703752555529,3508.125930052717,1354.2559300527173,2153.87,2931.882986002911,0.0,15.046100000000001,10037.098011258266,13.3324,6.37,74937.68650089687,79163.77133278032,252.30163873025225,MN,55431,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy,252.30163873025225,126.15081936512613
177426,"MN, Minneapolis",Hennepin,0-1499,SF,68F,"AC, SEER 13",High Eff AC,High Htg Eff,Natural Gas,Low Income,Average Insulation,<1940,<1960,Cold,No,44.9707515,-93.26819344292213,2385.2005089362065,1497.0105089362064,888.19,2362.7389677284555,0.0,6.485600000000001,11102.997493474639,5.526,14.33,24920.4192388844,29533.944025535522,252.30163873025225,MN,55404,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
