State,Utility,ResStock,Reported,weight Adjustment Factor,Only census?,Mismatch?
PA,PECO Energy Co,11579696.0,13313739.0,1.15,Y+½N,Nope
PA,Citizens Electric Co - (PA),0.0,82450.0,0.0,Y,Mismatch too big
PA,West Penn Power Company,5316314.0,6768903.0,1.27,Y+N,Nope
PA,PPL Electric Utilities Corp,17472386.0,13694419.0,0.78,Y+N,Nope
PA,Metropolitan Edison Co,4551369.0,5490296.0,1.21,Y+N,Nope
PA,Pike County Light & Power Co,0.0,32426.0,0.0,Y,Mismatch too big
PA,"UGI Utilities, Inc",0.0,537077.0,0.0,Y,Mismatch too big
RI,The Narragansett Electric Co,3095608.5,2909036.0,0.94,Y+N,Nope
SC,"Duke Energy Carolinas, LLC",5595780.5,6728468.0,1.2,Y+½N,Nope
SC,"Dominion Energy South Carolina, Inc",6819008.0,8048073.0,1.18,Y+½N,Nope
SC,Lockhart Power Co,93104.09,61613.0,0.66,Y+½N,Mismatch too big
SC,Duke Energy Progress - (NC),2121953.5,1933986.0,0.91,Y+N,Nope
SD,MidAmerican Energy Co,0.0,56488.0,0.0,Y,Mismatch too big
SD,NorthWestern Energy - (SD),725660.25,602945.0,0.83,Y+N,Nope
SD,Otter Tail Power Co,67401.74,118430.0,1.76,Y+N,Mismatch too big
SD,"Black Hills Power, Inc.",0.0,546151.0,0.0,Y,Mismatch too big
SD,Northern States Power Co - Minnesota,0.0,844354.0,0.0,Y,Mismatch too big
SD,Montana-Dakota Utilities Co,0.0,67132.0,0.0,Y,Mismatch too big
TN,Entergy Arkansas LLC,0.0,25.0,0.0,Y,Mismatch too big
TN,Kingsport Power Co,0.0,601847.0,0.0,Y,Mismatch too big
TX,El Paso Electric Co,2708158.0,2657537.0,0.98,Y,Nope
TX,Southwestern Public Service Co,1895685.9,2524471.0,1.33,Y+N,Mismatch too big
TX,Entergy Texas Inc.,8363617.0,6785117.0,0.81,Y,Nope
TX,Southwestern Electric Power Co,2450998.0,2129999.0,0.87,Y+N,Nope
UT,PacifiCorp,8095608.5,8282116.0,1.02,Y+N,Nope
VT,Green Mountain Power Corp,1857478.5,1556800.0,0.84,Y+N,Nope
VA,Appalachian Power Co,4502614.5,5674429.0,1.26,Y+½N,Nope
VA,Virginia Electric & Power Co,31501960.0,27195516.0,0.86,Y+N,Nope
VA,Kentucky Utilities Co,340296.62,312763.0,0.92,Y+N,Nope
WA,Avista Corp,2495818.5,2664362.0,1.07,Y+½N,Nope
WA,PacifiCorp,1745940.0,1618257.0,0.93,Y+N,Nope
WA,Puget Sound Energy Inc,10898353.0,11387970.0,1.04,Y+½N,Nope
WV,The Potomac Edison Company,1847259.0,1857742.0,1.01,Y+N,Nope
WV,Wheeling Power Co,478463.62,360996.0,0.75,Y+N,Nope
WV,Black Diamond Power Co,0.0,32418.0,0.0,Y,Mismatch too big
WV,Appalachian Power Co,5410808.5,4451267.0,0.82,Y+N,Nope
WV,Monongahela Power Co,4332240.0,3446643.0,0.8,Y+N,Nope
WI,Consolidated Water Power Co,0.0,670.0,0.0,Y,Mismatch too big
WI,North Central Power Co Inc,66746.39,26032.0,0.39,Y+½N,Mismatch too big
WI,Westfield Electric Company,0.0,4823.0,0.0,Y,Mismatch too big
WI,Wisconsin Electric Power Co,7196536.5,7790977.0,1.08,Y+N,Nope
WI,Northern States Power Co,1637296.5,1892820.0,1.16,Y+½N,Nope
WI,Northwestern Wisconsin Elec Co,0.0,87065.0,0.0,Y,Mismatch too big
WI,Pioneer Power and Light Co,0.0,13993.0,0.0,Y,Mismatch too big
WI,Wisconsin Power & Light Co,2624880.8,3589536.0,1.37,Y+N,Mismatch too big
WI,Dahlberg Light & Power Co,0.0,73642.0,0.0,Y,Mismatch too big
WI,Wisconsin Public Service Corp,2442828.8,2952094.0,1.21,Y+½N,Nope
WI,Madison Gas & Electric Co,1210593.4,871558.0,0.72,Y,Nope
WI,Superior Water and Light Co,0.0,85036.0,0.0,Y,Mismatch too big
WY,NorthWestern Energy LLC - (MT),0.0,2120.0,0.0,Y,Mismatch too big
WY,Montana-Dakota Utilities Co,0.0,146874.0,0.0,Y,Mismatch too big
WY,"Black Hills Power, Inc.",0.0,19530.0,0.0,Y,Mismatch too big
WY,Cheyenne Light Fuel & Power,253668.48,268961.0,1.06,Y,Nope
WY,PacifiCorp,1408146.4,1046604.0,0.74,Y+N,Nope
