Area,Company,Item,2020,2021,2022,2023
New Hampshire, Total of All Companies,Industrial Volume,9292575,9082034,9266604,9912799
New Hampshire, Total of All Companies,Electric Power Volume,28749532,39664093,39243708,36072009
New Hampshire, Total of All Companies,Vehicle Fuel Volume,409,354,,264
New Jersey, Total of All Companies,Residential Volume,223369999,232224784,238448479,215855617
New Jersey, Total of All Companies,Commercial Volume,138104836,150083212,153825958,144809184
New Jersey, Total of All Companies,Industrial Volume,58709987,60186148,76609744,79508977
New Jersey, Total of All Companies,Electric Power Volume,263386316,252691956,277256203,255734949
New Jersey, Total of All Companies,Vehicle Fuel Volume,227321,401615,567706,982909
New Mexico, Total of All Companies,Residential Volume,36436357,35559098,36621898,36773213
New Mexico, Total of All Companies,Commercial Volume,25408145,26943962,27722954,27723218
New Mexico, Total of All Companies,Industrial Volume,18005969,17086373,13507266,11023843
New Mexico, Total of All Companies,Electric Power Volume,122414280,96953727,114828851,157963977
New Mexico, Total of All Companies,Vehicle Fuel Volume,373644,393930,394963,380854
New York, Total of All Companies,Residential Volume,437122342,445563771,449839651,414830437
New York, Total of All Companies,Commercial Volume,288915739,297800247,303903337,295811860
New York, Total of All Companies,Industrial Volume,86401077,89731279,88967923,84720196
New York, Total of All Companies,Electric Power Volume,472060137,488854130,504506884,495167482
New York, Total of All Companies,Vehicle Fuel Volume,888859,1100148,2332420,942540
New York, Total of All Companies,Other Volume,,,,0
North Carolina, Total of All Companies,Residential Volume,64045281,72066899,71983385,63298295
North Carolina, Total of All Companies,Commercial Volume,52182627,56717805,58843630,54862407
North Carolina, Total of All Companies,Industrial Volume,115346275,122230449,122860173,118244628
North Carolina, Total of All Companies,Electric Power Volume,334614198,428776990,582299914,511462107
North Carolina, Total of All Companies,Vehicle Fuel Volume,1581126,1538545,1615766,1696210
North Carolina, Total of All Companies,Other Volume,0,,,
North Dakota, Total of All Companies,Residential Volume,11964527,11155501,13978592,12954726
North Dakota, Total of All Companies,Commercial Volume,14562892,13855101,17117593,16293479
North Dakota, Total of All Companies,Industrial Volume,38495858,38461348,39499715,41992657
North Dakota, Total of All Companies,Electric Power Volume,12583584,14007281,14010753,20590771
North Dakota, Total of All Companies,Vehicle Fuel Volume,179,54,153,81
Ohio, Total of All Companies,Residential Volume,271863254,272675887,292734020,258334845
Ohio, Total of All Companies,Commercial Volume,162028957,169447777,181674022,166804146
Ohio, Total of All Companies,Industrial Volume,282003616,310019496,311951578,319897692
Ohio, Total of All Companies,Electric Power Volume,347318658,402686059,523438168,543308822
Ohio, Total of All Companies,Vehicle Fuel Volume,1131861,1096110,2514242,1501269
Ohio, Total of All Companies,Other Volume,4986,4606,5285,3688
Oklahoma, Total of All Companies,Residential Volume,60719406,63875682,61226951,59075641
Oklahoma, Total of All Companies,Commercial Volume,42400393,43834750,45485719,44649505
Oklahoma, Total of All Companies,Industrial Volume,219708011,207511352,212415134,225832197
Oklahoma, Total of All Companies,Electric Power Volume,317179368,244379012,270857234,338390015
Oklahoma, Total of All Companies,Vehicle Fuel Volume,1438943,1552198,2089008,1508321
Oklahoma, Total of All Companies,Other Volume,,27022,0,
Oregon, Total of All Companies,Residential Volume,45486766,46195857,49033935,46861204
Oregon, Total of All Companies,Commercial Volume,28350813,29699769,32634433,31911095
Oregon, Total of All Companies,Industrial Volume,56700280,58109368,56405774,55015063
Oregon, Total of All Companies,Electric Power Volume,148422085,147554710,131159736,166543222
Oregon, Total of All Companies,Vehicle Fuel Volume,44472,36044,10497,1406
Pennsylvania, Total of All Companies,Residential Volume,221298055,226453412,237369797,206815683
Pennsylvania, Total of All Companies,Commercial Volume,148186273,154420148,166769227,157869423
Pennsylvania, Total of All Companies,Industrial Volume,215664478,240906696,253189303,238356715
Pennsylvania, Total of All Companies,Electric Power Volume,764310785,778158007,789784775,921117419
Pennsylvania, Total of All Companies,Vehicle Fuel Volume,1584030,1696609,3084957,1654399
Rhode Island, Total of All Companies,Residential Volume,18278283,18580888,18223872,17238850
Rhode Island, Total of All Companies,Commercial Volume,10808233,11236427,11126841,10423889
Rhode Island, Total of All Companies,Industrial Volume,8360956,8458470,8369780,8160809
Rhode Island, Total of All Companies,Electric Power Volume,46511953,51289664,42370484,56347886
Rhode Island, Total of All Companies,Vehicle Fuel Volume,97227,100006,100940,83644
South Carolina, Total of All Companies,Residential Volume,29111329,33204630,33459500,30561148
South Carolina, Total of All Companies,Commercial Volume,23875483,25852888,25986123,25169208
South Carolina, Total of All Companies,Industrial Volume,95144743,99791736,99185764,95393563
South Carolina, Total of All Companies,Electric Power Volume,182556965,178976942,187956803,184509734
South Carolina, Total of All Companies,Vehicle Fuel Volume,91538,86288,86676,73928
South Dakota, Total of All Companies,Residential Volume,13208164,12447181,14578825,13434813
South Dakota, Total of All Companies,Commercial Volume,11879693,11461803,13168313,12537124
South Dakota, Total of All Companies,Industrial Volume,45621415,48731594,45573017,45761215
South Dakota, Total of All Companies,Electric Power Volume,8811016,11893777,16058058,17549070
Tennessee, Total of All Companies,Residential Volume,65606910,71713777,72878387,62997323
Tennessee, Total of All Companies,Commercial Volume,52565179,58563776,60486954,53371009
Tennessee, Total of All Companies,Industrial Volume,145854646,153565563,152123249,144656809
Tennessee, Total of All Companies,Electric Power Volume,105862683,108246902,132904620,114640862
Tennessee, Total of All Companies,Vehicle Fuel Volume,325687,333055,1407743,1642606
Tennessee, Total of All Companies,Other Volume,,0,0,0
Texas, Total of All Companies,Residential Volume,204458865,211198471,232766141,200326017
Texas, Total of All Companies,Commercial Volume,172627123,181377891,196882611,196603803
Texas, Total of All Companies,Industrial Volume,1865743596,1956073069,1962615263,2000931188
Texas, Total of All Companies,Electric Power Volume,1722577060,1646220070,1961518209,2149087795
Texas, Total of All Companies,Vehicle Fuel Volume,1083920,903775,1256320,915431
Texas, Total of All Companies,Other Volume,0,22,0,0
Utah, Total of All Companies,Residential Volume,74191338,71628156,78790908,82283680
